序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
1,第一幕·场景1,a1s1,7,,,旁白,"I lay back in the cool blackness of my mind, listening to the voices banter.",
2,第一幕·场景1,a1s1,8,,,旁白,"""{i}He must be, I can hear him from here.{/i}""",
3,第一幕·场景1,a1s1,9,,,旁白,"""{i}Are you sure it is him that you hear?{/i}""",
4,第一幕·场景1,a1s1,10,,,旁白,"""{i}Pretty sure. Dark blue-ish fur, cream-colored front, ear tips, and muzzle--{/i}""",
5,第一幕·场景1,a1s1,11,,,旁白,"""{i}You just described half-a-million wolves on Adastra.{/i}""",
6,第一幕·场景1,a1s1,12,,,旁白,"""{i}Corrective lenses as well.{/i}""",
7,第一幕·场景1,a1s1,13,,,旁白,"""{i}...Hm.{/i}""",
8,第一幕·场景1,a1s1,14,,,旁白,"It's nice, a sort of half-meditation that my mindfulness teacher once taught me several years ago.",
9,第一幕·场景1,a1s1,15,,,旁白,"Thoughts that come unbidden to the mind are not uncommon during meditation, though this time, it's quite different.",
10,第一幕·场景1,a1s1,16,,,旁白,"Usually, the thoughts don't have a clear purpose and offer little insight unless one delves into implied, and likely non-existent meanings.",
11,第一幕·场景1,a1s1,17,,,旁白,"""{i}So what's your explanation? That I'm going crazy? It wouldn't be the first time.{/i}""",
12,第一幕·场景1,a1s1,18,,,旁白,"""{i}No, just that you should be careful when trying to reach that far. The mind can often be one massive illusion to its owner, especially concerning non-tangible matters.{/i}""",
13,第一幕·场景1,a1s1,19,,,旁白,Now they very much have a purpose: Speaking about me.,
14,第一幕·场景1,a1s1,20,,,旁白,"Still, it helps to calm my mind, pull it inward from the outward chaos.",
15,第一幕·场景1,a1s1,21,,,旁白,It helps me forget the responsibilities that rest upon my shoulders.,
16,第一幕·场景1,a1s1,22,,,旁白,"They mainly rest on my mentor's shoulders but, in turn, he rests upon mine.",
17,第一幕·场景1,a1s1,23,,,旁白,"""{i}His mind, it's not... sound? It's been altered.{/i}""",
18,第一幕·场景1,a1s1,24,,,旁白,"""{i}That's a common feature for those like you.{/i}""",
19,第一幕·场景1,a1s1,25,,,旁白,"I frown, feeling as if these voices are being rather rude now, but I try to avoid the distraction.",
20,第一幕·场景1,a1s1,26,,,旁白,Focus...,
21,第一幕·场景1,a1s1,27,,,旁白,"Instead, I admire the way I'm able to isolate my mind in a place such as this.",
22,第一幕·场景1,a1s1,28,,,旁白,"For many months afterwards, setting foot within these walls, or even on the campus grounds would fill me with such dread, I simply could not function properly.",
23,第一幕·场景1,a1s1,29,,,旁白,"Now, I imagine that incident, a sphere of suffering and shock, to be in a different place in time and space, floating in nothingness.",
24,第一幕·场景1,a1s1,30,,,旁白,"""Ahewawi, {i}I feel it.{/i}""",
25,第一幕·场景1,a1s1,31,,,旁白,"I feel my focus falter again, hearing what vaguely sounds Khemian, almost like the word for pain.",
26,第一幕·场景1,a1s1,32,,,旁白,"The altered suffix indicates something less solid, more ethereal.",
27,第一幕·场景1,a1s1,33,,,旁白,"""{i}See? He hears me.{/i}""",
28,第一幕·场景1,a1s1,34,,,旁白,"""{i}Do not alert him to our presence.{/i}""",
29,第一幕·场景1,a1s1,35,,,旁白,"""{i}So now you believe me. Besides, he is already alert. He's just ignoring us. Like I said, he's gifted. But fine, you can relax, I'll stop.{/i}""",
30,第一幕·场景1,a1s1,36,,,旁白,Focus.,
31,第一幕·场景1,a1s1,37,,,旁白,"I instead ponder on why my mind might be thinking of pain... And then imagery, visceral and vivid flashes through my mind's eye.",
32,第一幕·场景1,a1s1,38,,,旁白,Those events are three years behind me now.,
33,第一幕·场景1,a1s1,39,,,旁白,"Not only that, but the point in space in which the riots occurred is billions of kilometers behind me.",
34,第一幕·场景1,a1s1,40,,,旁白,That small sphere adrift in time and space.,
35,第一幕·场景1,a1s1,41,,,旁白,A dark void that I shall never return to.,
36,第一幕·场景1,a1s1,42,,,旁白,And it continues to move away as our galaxy spins through the ever-expanding universe.,
37,第一幕·场景1,a1s1,43,,,旁白,The halls of the university are only an illusion of a constant space.,
38,第一幕·场景1,a1s1,44,,,旁白,"Rather, we are at a different point in the universe every moment we exist, whether that be at home, school, or on a diplomatic mission to Khemia.",
39,第一幕·场景1,a1s1,45,,,旁白,"Therefore, I am free from that moment, and that place.",
40,第一幕·场景1,a1s1,46,,,旁白,"Now I am in a clean space, and that's true for every moment I exist.",
41,第一幕·场景1,a1s1,47,,,旁白,"That's exactly the kind of space I need to exist in mentally, especially if I want to keep this assignment.",
42,第一幕·场景1,a1s1,48,,,旁白,The type of assignment I've wanted my whole life.,
43,第一幕·场景1,a1s1,49,,,旁白,"The exact one, if I'd known such an opportunity would exist.",
44,第一幕·场景1,a1s1,50,,,旁白,A sound mind is one of my most important assets.,
45,第一幕·场景1,a1s1,51,,,旁白,The past is in the past...,
46,第一幕·场景1,a1s1,52,,,旁白,"...And yet, the framing of the space {i}is{/i} constant; the marble, the statues, the lecture halls.",
47,第一幕·场景1,a1s1,53,,,旁白,"These were all here when it happened, and they are here now, so is it really clean?",
48,第一幕·场景1,a1s1,54,,,旁白,"Stone does not live, therefore it cannot witness.",
49,第一幕·场景1,a1s1,55,,,旁白,It cannot be corrupted like the minds of sapients.,
50,第一幕·场景1,a1s1,56,,,旁白,But is that even true?,
51,第一幕·场景1,a1s1,57,,,旁白,"I realize my meditation is veering off-course, but it's easy to be distracted when you're lying on a marble bench and your head is beginning to ache.",
52,第一幕·场景1,a1s1,58,,,旁白,"""{i}It follows him.{/i}""",
53,第一幕·场景1,a1s1,59,,,旁白,"""{i}I know.{/i}""",
