序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
1,第一幕·场景1,a1s1,7,unk,?????,台词,"""It's so...large.""",“这可真是……壮观。”
2,第一幕·场景1,a1s1,8,unk,?????,台词,"""It's too much. How do they get anything done?""",“这也太庞大了吧。他们要怎么打理啊？”
3,第一幕·场景1,a1s1,9,com,Computer,台词,"""Sensing doubt. Shall we proceed with the directive, Amicus?""",“感知到疑惑情绪。我们要按照指令执行吗，Amicus？”
4,第一幕·场景1,a1s1,10,a,Amicus,台词,"""I don't know...Are you sure they're level five?""",“我不知道...你确定他们的等级是五吗？”
5,第一幕·场景1,a1s1,11,com,Computer,台词,"""Data from mission 32-65-193 indicates primate species with level five intelligence and—""",“32-65-193号任务提供的数据表示，灵长类物种的智力水平只有五级，并且-”
6,第一幕·场景1,a1s1,12,a,Amicus,台词,"""Understood. Thank you.""",“知道了，谢谢。”
7,第一幕·场景1,a1s1,13,com,Computer,台词,"""Most recent data indicates that all uplift attempts failed.""",“根据最新的资料来看，所有的提升试验均以失败告终。”
8,第一幕·场景1,a1s1,14,a,Amicus,台词,"""Ha, that figures. Why did we try to uplift here in the first place?""",“哈，意料之中。我们当初为什么要提升这个地方呢？”
9,第一幕·场景1,a1s1,15,com,Computer,台词,"""Sensing doubt. Shall we procee—""",“感知到疑惑情绪。我们是否继续-”
10,第一幕·场景1,a1s1,16,a,Amicus,台词,"""Name of the planet?""",“行星的名字是？”
11,第一幕·场景1,a1s1,17,com,Computer,台词,"""Earth.""",“地球。”
12,第一幕·场景1,a1s1,18,a,Amicus,台词,"""Location of Romanus uplift?""",“Romanus的提升区在哪？”
13,第一幕·场景1,a1s1,19,com,Computer,台词,"""The city of Rome, in the state of Italy.""",“意大利国，罗马城。”
14,第一幕·场景1,a1s1,20,a,Amicus,台词,"""Is the probe there?""",“探测器到那儿了吗？”
15,第一幕·场景1,a1s1,21,com,Computer,台词,"""It has arrived.""",“已经抵达了。”
16,第一幕·场景1,a1s1,22,a,Amicus,台词,"""Give me a visual...Zoom in.""",“显示图像...放大。”
17,第一幕·场景1,a1s1,23,,,旁白,...,......
18,第一幕·场景1,a1s1,24,a,Amicus,台词,"""That...doesn't look like Adastra at all.""",“那里...看上去和阿达斯特拉完全不一样。”
19,第一幕·场景1,a1s1,25,com,Computer,台词,"""Reminder that uplift failed. Ruins of uplift attempt remain.""",“提醒，提升已失败。那里是试验的遗迹。”
20,第一幕·场景1,a1s1,26,a,Amicus,台词,"""Show me the ruins.""",“让我看看那些遗迹。”
21,第一幕·场景1,a1s1,27,,,旁白,...,......
22,第一幕·场景1,a1s1,28,com,Computer,台词,"""Showing the Roman Forum.""",“正在显示古罗马广场。”
23,第一幕·场景1,a1s1,29,a,Amicus,台词,"""...""",“......”
24,第一幕·场景1,a1s1,30,com,Computer,台词,"""Sensing doubt—""",“感知到疑惑情绪-”
25,第一幕·场景1,a1s1,31,a,Amicus,台词,"""Shut up, please.""",“麻烦你闭上嘴。”
26,第一幕·场景1,a1s1,32,com,Computer,台词,"""...""",“......”
27,第一幕·场景1,a1s1,33,a,Amicus,台词,"""What the hell are they even saying? That's not the Language. It's all messed up.""",“他们究竟在说什么？不是我们的语言。全乱套了。”
28,第一幕·场景1,a1s1,34,,,旁白,...,......
29,第一幕·场景1,a1s1,35,com,Computer,台词,"""Sensing—""",“感知到-”
30,第一幕·场景1,a1s1,36,a,Amicus,台词,"""That creature there.""",“那里的那个生物。”
31,第一幕·场景1,a1s1,37,com,Computer,台词,"""They are called humans.""",“他们的学名是人类。”
