序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
1,第一幕·场景1,a1s1,6,unk,?????,台词,"""So... That's the plan, then?""","""所以...这就是你的计划？"""
2,第一幕·场景1,a1s1,9,,,旁白,"The dragon floats at a single, isolated point in the vast universe.",巨龙漂浮于浩瀚宇宙的一方。
3,第一幕·场景1,a1s1,10,,,旁白,...,...
4,第一幕·场景1,a1s1,11,mon,Monitor,台词,"""You know that whenever I speak, it is with the utmost respect--""","""要知道无论何时，我均怀是着极大的敬意在-"""
5,第一幕·场景1,a1s1,12,,,旁白,...,...
6,第一幕·场景1,a1s1,13,mon,Monitor,台词,"""Don't you know all? If that was sarcasm you would know, so why ask?""","""你不是无所不知吗？既然如此，又何必问那是不是讽刺？"""
7,第一幕·场景1,a1s1,14,,,旁白,...,...
8,第一幕·场景1,a1s1,15,mon,Monitor,台词,"""I was trained to speak with unfamiliar beings whose existences escape my comprehension. You do not need to accommodate me--""","""我接受过与超脱自己理解的陌生存在交流的训练，你不必迁就我-"""
9,第一幕·场景1,a1s1,16,,,旁白,There's a pause.,他停顿了一下。
10,第一幕·场景1,a1s1,17,mon,Monitor,台词,"""Actually, why are you distracting me like this? You know, the Galenians were actually easier to speak to.""","""说真的，你为什么要这样分散我的注意力？知道吗，和伽利尼亚们交流还要简单些。"""
11,第一幕·场景1,a1s1,18,,,旁白,...,...
12,第一幕·场景1,a1s1,19,mon,Monitor,台词,"""Apologies, it is not my place to speak of such tender things. You do have such tender feelings.""","""很抱歉，我不该提到这类敏感话题，你的情绪确实非常敏感。"""
13,第一幕·场景1,a1s1,20,,,旁白,...,...
14,第一幕·场景1,a1s1,21,mon,Monitor,台词,"""Indeed, that {i}was{/i} sarcasm, but let me speak seriously once more;""","""没错，刚才那句{b}是{/b}讽刺，不过让我再严肃重申一遍："""
15,第一幕·场景1,a1s1,22,mon,Monitor,台词,"""After botching their first mission so terribly, don't you feel the human and wolf have been through enough? Why risk their livelihoods once mo--""","""在第一次糟糕透顶的任务后，你不觉得那一人一狼已经受够了吗？他们还有什么理由再次冒着生命危险-"""
16,第一幕·场景1,a1s1,23,,,旁白,...,...
17,第一幕·场景1,a1s1,24,mon,Monitor,台词,"""Yes, yes, not my place.""","""是，是，与我无关。"""
18,第一幕·场景1,a1s1,25,,,旁白,...,...
19,第一幕·场景1,a1s1,26,mon,Monitor,台词,"""Well, despite your best efforts, there remain sapient feelings of empathy within me.""","""毕竟你尽了自己最大的努力，我还是能感同身受的。"""
20,第一幕·场景1,a1s1,27,,,旁白,...,...
21,第一幕·场景1,a1s1,28,mon,Monitor,台词,"""Yes, yes, fine; I shall begin watching.""","""是，是，好吧，我这就开始观察。"""
22,第一幕·场景1,a1s1,29,,,旁白,"He claps his paws together, honing his concentration, focusing it down from the vast stretches of the universe, from dimensions unseen, down to a single being in his own realm of existence.",他拍了拍双爪，集中精神，把注意力从广袤无垠的宇宙，从不可视的维度聚焦到自己领域中一个独立的存在上。
23,第一幕·场景1,a1s1,30,,,旁白,A single being on a single moon in a single bedroom next to his wolf.,那个独立的存在正位于一颗独立卫星上的一间独立卧室中，旁边还有他的狼。
24,第一幕·场景1,a1s1,35,unk,?????,台词,"""[mc].""","""[mc]。"""
25,第一幕·场景1,a1s1,37,,,旁白,He mumbles quietly.,他轻声唤道。
26,第一幕·场景1,a1s1,38,,,旁白,And he disappears into a whirlpool of bending light.,接着消失在了光线的漩涡中。
27,第一幕·场景1,a1s1,41,,,旁白,"I feel myself coming to, in that moment where you realize that you're waking up.",就在即将苏醒的前一刻，我意识到、并感受起这一过程。
28,第一幕·场景1,a1s1,42,,,旁白,The way I've felt in this moment has changed drastically over the course of my stay here.,随着在这里的时间越来越久，相应的感觉也产生了天翻地覆的变化。
29,第一幕·场景1,a1s1,43,,,旁白,"Just months ago, it was usually the worst part of the day--",就在几个月前，这还是一天中最糟糕的时刻-
30,第一幕·场景1,a1s1,44,,,旁白,Having to remember what had happened and all the obstacles that were ahead of me.,我不得不牢记发生了什么，以及在我面前的种种障碍。
31,第一幕·场景1,a1s1,45,,,旁白,Most of that stress ended with the fight at the amphitheater.,在竞技场的死斗之后，大部分压力都已经烟消云散了。
32,第一幕·场景1,a1s1,46,,,旁白,"Now, that feeling of dread has evolved into... well, another kind of dread.",现在，那种恐惧感转化为了...好吧，另一种恐惧。
33,第一幕·场景1,a1s1,47,,,旁白,The day I will have to say goodbye is drawing nearer.,告别的那一天越来越临近了。
34,第一幕·场景1,a1s1,48,,,旁白,"Still, along with that feeling comes one of love and relief.",不过，伴随这种感觉而来的还有一种爱和解脱。
35,第一幕·场景1,a1s1,49,,,旁白,Because I know what I'll see when I open my eyes--,因为我知道，醒来后第一眼看到的是-
36,第一幕·场景1,a1s1,52,,,旁白,"Sure enough, the emperor of Adastra is splayed out before me, leaving himself exposed in a way that he never would while awake.",果不其然，Adastra的皇帝正以一种他清醒时绝不会有的、毫无防备的姿势躺在我面前。
37,第一幕·场景1,a1s1,53,,,旁白,"Well, at least when it isn't just the two of us.",好吧，至少是在只有我们两个的时候。
38,第一幕·场景1,a1s1,54,,,旁白,"The warmer months on Adastra have arrived, about the same as it was when I first landed on the moon.",Adastra较为温暖的月份已然到来，一如我刚踏上这颗星球的时候。
39,第一幕·场景1,a1s1,55,,,旁白,"Because of that, the bedding is especially light, and our only blanket is pulled down to a point that almost makes him look like a tastefully covered up model.",正因如此，床上的寝具格外稀少，我们唯一的毯子也滑落下来，几乎将他打扮成了一个富有艺术感的半裸模特。
40,第一幕·场景1,a1s1,56,,,旁白,"He doesn't really need a blanket, in fact he hardly ever used them before he met me.",其实他并不需要毯子，真的，遇见我之前他很少盖东西。
41,第一幕·场景1,a1s1,57,,,旁白,"Now he does it for my benefit, starting the night with his body and the blanket wrapped my fur-less body.",他现在这样做完全是为了我。一入夜，他便会用自己的身体跟毯子将我团团围住。
42,第一幕·场景1,a1s1,58,,,旁白,"Then usually by the end of the night, we both become so hot that we end up splayed out, the blanket wadded up off to the side.",然后通常天还没亮，我们就因为太热在床上瘫成大字，毯子也卷到了一旁。
